Time (ms),ENC_POS_BHG2_Z_t=4680,DAC_BHG2_Z_t=4680,ENC_POS_BHG2_BF_VCM_t=4680,BHG2_ADC_PORT_BF_CAL_t=4680,GMP_OCA_PORT_20_t=4680,GMP_OCA_PORT_27_t=4680,GMP_OCA_PORT_28_t=4680
227.0,-5561.0,-423,964.8000000000001,1482.0,3,-423.131042,-423.131042
227.125,-5561.0,-423,964.8000000000001,1475.3999999999999,3,-423.131042,-423.131042
227.25,-5561.0,-423,964.8000000000001,1478.3999999999999,3,-423.131042,-423.131042
227.375,-5561.0,-423,964.8000000000001,1482.3,3,-423.131042,-423.131042
227.5,-5561.0,-423,964.8000000000001,1485.8999999999999,3,-423.131042,-423.131042
227.625,-5561.0,-423,964.8000000000001,1479.3,3,-423.131042,-423.131042
227.75,-5561.0,-423,964.8000000000001,1474.2,3,-423.131042,-423.131042
227.875,-5561.0,-423,964.8000000000001,1482.0,3,-423.131042,-423.131042
228.0,-5561.0,-423,964.8000000000001,1484.3999999999999,3,-423.131042,-423.131042
228.125,-5561.0,-423,964.8000000000001,1478.7,3,-423.131042,-423.131042
228.25,-5561.0,-423,964.8000000000001,1477.8,3,-423.131042,-423.131042
228.375,-5561.0,-423,964.8000000000001,1476.8999999999999,3,-423.131042,-423.131042
228.5,-5561.0,-423,964.8000000000001,1479.8999999999999,3,-423.131042,-423.131042
228.625,-5561.0,-423,964.8000000000001,1482.3,3,-423.131042,-423.131042
228.75,-5561.0,-423,964.8000000000001,1478.1,3,-423.131042,-423.131042
228.875,-5561.0,-423,964.8000000000001,1480.8,3,-423.131042,-423.131042
229.0,-5561.0,-423,964.8000000000001,1484.7,3,-423.131042,-423.131042
229.125,-5561.0,-423,964.8000000000001,1488.0,3,-423.131042,-423.131042
229.25,-5561.0,-423,964.8000000000001,1479.6,3,-423.131042,-423.131042
229.375,-5561.0,-423,964.8000000000001,1481.7,3,-423.131042,-423.131042
229.5,-5561.0,-423,964.8000000000001,1488.8999999999999,3,-423.131042,-423.131042
229.625,-5561.0,-423,964.9000000000001,1486.2,3,-423.131042,-423.131042
229.75,-5561.0,-423,964.9000000000001,1483.2,3,-423.131042,-423.131042
229.875,-5561.0,-423,964.9000000000001,1475.3999999999999,3,-423.131042,-423.131042
230.0,-5561.0,-423,964.8000000000001,1486.5,3,-423.131042,-423.131042
230.125,-5561.0,-423,964.8000000000001,1486.8,3,-423.131042,-423.131042
230.25,-5561.0,-423,964.9000000000001,1482.8999999999999,3,-423.131042,-423.131042
230.375,-5561.0,-423,964.8000000000001,1477.8,3,-423.131042,-423.131042
230.5,-5561.0,-423,964.9000000000001,1482.6,3,-423.130646,-423.131042
230.625,-5561.0,-423,964.9000000000001,1490.1,3,-423.129944,-423.131042
230.75,-5561.0,-423,964.9000000000001,1483.8,3,-423.128815,-423.131042
230.875,-5561.0,-423,964.9000000000001,1482.0,3,-423.127228,-423.131042
231.0,-5561.0,-423,964.9000000000001,1483.2,3,-423.125092,-423.131042
231.125,-5561.0,-423,964.9000000000001,1488.6,3,-423.122467,-423.131042
231.25,-5561.0,-423,964.9000000000001,1488.6,3,-423.119598,-423.131042
231.375,-5561.0,-423,964.9000000000001,1480.5,3,-423.116516,-423.131042
231.5,-5561.0,-423,964.9000000000001,1480.5,3,-423.113251,-423.131042
231.625,-5561.0,-423,964.8000000000001,1482.8999999999999,3,-423.109955,-423.131042
231.75,-5561.0,-423,964.8000000000001,1486.5,3,-423.10672,-423.131042
231.875,-5561.0,-423,964.8000000000001,1480.5,3,-423.103699,-423.131042
232.0,-5561.0,-423,964.8000000000001,1477.2,3,-423.100952,-423.131042
232.125,-5561.0,-423,964.8000000000001,1481.7,3,-423.098419,-423.131042
232.25,-5561.0,-423,964.8000000000001,1486.2,3,-423.096283,-423.131042
232.375,-5561.0,-423,964.8000000000001,1484.7,3,-423.094604,-423.131042
232.5,-5561.0,-423,964.8000000000001,1478.7,3,-423.093384,-423.131042
232.625,-5561.0,-423,964.8000000000001,1479.0,3,-423.092499,-423.131042
232.75,-5561.0,-423,964.8000000000001,1483.2,3,-423.09201,-423.131042
232.875,-5561.0,-423,964.8000000000001,1482.8999999999999,3,-423.091644,-423.131042
233.0,-5561.0,-423,964.8000000000001,1483.8,3,-423.09137,-423.131042
233.125,-5561.0,-423,964.8000000000001,1478.7,3,-423.091187,-423.131042
233.25,-5561.0,-423,964.8000000000001,1483.5,3,-423.091156,-423.131042
233.375,-5561.0,-423,964.7,1482.0,3,-423.091248,-423.131042
233.5,-5561.0,-423,964.7,1482.3,3,-423.091461,-423.131042
233.625,-5561.0,-423,964.7,1479.6,3,-423.092041,-423.131042
233.75,-5561.0,-423,964.7,1475.7,3,-423.092834,-423.131042
233.875,-5561.0,-423,964.8000000000001,1479.6,3,-423.093842,-423.131042
234.0,-5561.0,-423,964.8000000000001,1484.1,3,-423.095093,-423.131042
234.125,-5561.0,-423,964.8000000000001,1482.3,3,-423.096375,-423.131042
234.25,-5561.0,-423,964.8000000000001,1480.2,3,-423.097717,-423.131042
234.375,-5561.0,-423,964.8000000000001,1477.8,3,-423.099091,-423.131042
234.5,-5561.0,-423,964.8000000000001,1486.2,3,-423.100739,-423.130646
234.625,-5561.0,-423,964.8000000000001,1485.8999999999999,3,-423.102539,-423.129944
234.75,-5561.0,-423,964.9000000000001,1480.5,3,-423.104645,-423.128815
